StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
88	[96]2024 - Hengjie Song - ConCPDP  A Cross‐Project Defect Prediction Method Integrating Contrastive Pretraining and Category Boundary Adjustment	1	1	1	1	1	1	1	0	1	8	1
89	[97]2024 - Xuanye Wang - IC-GraF An Improved Clustering with Graph-Embedding-Based Features for Software Defect Prediction	1	1	0	1	0	1	1	1	1	7	1
90	[98]2024 - Parvez Mahbub - Predicting Line-Level Defects by Capturing Code Contexts with Hierarchical Transformers	1	1	0	1	0	0.5	0.5	0	1	5	1
91	[99]2018 - Song Wang - Deep Semantic Feature Learning for Software Defect Prediction	1	1	1	1	0	1	1	1	1	8	1
92	[100]2022 - Qingan Huang - A cross-project defect prediction method based on multi-adaptation and nuclear norm	1	1	1	1	1	1	1	0	1	8	1
93	[101]2022 - Md Nasir Uddin - Software defect prediction employing BiLSTM and BERT-based semantic feature	1	1	0	1	1	0.5	1	0	1	6.5	1
94	[102]2020 - Jiehan Deng - A Suitable AST Node Granularity and Multi-Kernel Transfer Convolutional Neural Network for Cross-Project Defect Prediction	1	1	1	1	1	0.5	1	0	1	7.5	1
95	[103]2020 - Ming Wen - How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes	1	1	1	1	1	1	1	1	1	9	1
96	[104]2021 - Ting-Yan Yu - Use of Deep Learning Model with Attention Mechanism for Software Fault Prediction	1	1	1	1	0	1	1	0	0	6	1
97	[105]2022 - VIET ANH PHAN -Learning Stretch-Shrink Latent Representations With Autoencoder and K-Means for Software Defect Prediction	1	1	0	1	0	1	1	0	0	5	1
98	[106]2022 - DIANA-LUCIA MIHOLCA - An in-Depth Analysis of the Software Features Impact on the Performance of Deep Learning-Based Software Defect Predictors	1	1	1	1	0.5	1	0	1	1	7.5	1
99	[39]2022 - Kajal Tameswar - A hybrid deep learning approach with genetic and coral reefs metaheuristics for enhanced defect detection in software	1	1	0	1	1	1	0	0	0	5	1
100	[40]2021 - Tanujit Chakraborty - Hellinger Net: A Hybrid Imbalance Learning Model to Improve Software Defect Prediction	1	1	1	1	0.5	1	1	1	1	8.5	1
101	[41]2022 - AILI WANG - Heterogeneous Defect Prediction Based on Federated Reinforcement Learning via Gradient Clustering	1	1	0	1	0	1	1	1	0	6	1
102	[42]2020 - Kun Zhu - Software defect prediction based on non-linear manifold learning and hybrid deep learning techniques	1	1	1	1	1	1	1	0	0	7	1
103	[107]2025 - Zhijing Liu - Software defect prediction based on residualshuffle network optimized by upgraded fish migration optimization algorithm	1	1	1	1	0.5	1	1	0	0.5	7	1
104	[108]2025 - Bal - Cross Project Defect Prediction using Dropout Regularized Deep Learning and Unique Matched Metrics	1	1	1	1	0.5	1	1	0.5	1	8	1
105	[109]2025 - Abhichandani - Multi-Dimensional_Software_Defect_Prediction_using_Ensemble_and_Deep_Learning	1	0.5	1	1	0.5	1	1	0	0.5	6.5	1
106	[110]2025 - Wen Zhang - Cross-project defect prediction based on autoencoder with dynamic adversarial adaptation	1	1	1	1	1	1	1	1	1	9	1
107	[111]2025 - Wang - Application_of_Defect_Prediction_Model_Based_on_Convolutional_Neural_Networks_in_Software_Evaluation	1	0.5	0	1	0.5	1	1	0	0.5	5.5	1
108	[112]2025 - HIRO ANDRADE - Improving Software Defect Detection With LSTM-Based Semantic Modeling and Class Imbalance Handling	1	1	1	1	0.5	1	1	0	1	7.5	1
109	[113]2025 - Haiyang Liu - CFG2AT_Control_Flow_Graph_and_Graph_Attention_Network-Based_Software_Defect_Prediction	1	1	0.5	1	0.5	1	1	1	1	8	1
110	[114]2025 - Zhou - Software_Defect_Prediction_Method_Based_on_Multi-Feature_Fusion	1	1	0.5	1	0.5	1	1	0	1	7	1
111	[115]2023 - Fanggeng Tang - Software Defect Prediction using Multi-scale Structural Information	1	1	0	1	0.5	1	0.5	0	0.5	5.5	1
112	[116]2024 - Zong-Yi Chen - Employing CNN with Spatial Pyramid Pooling for Predicting Software Defects through Image Analysis	1	0.5	1	1	0.5	1	1	0	0.5	6.5	1
113	[117]2025 - Bal - An approach to software defect prediction for small-sized datasets	1	1	1	0.5	0.5	0.5	0.5	1	1	7	1
114	[119]2025 - Chitra - A novel attention based deep learning model for software defect prediction with bidirectional word embedding system	1	1	0.5	1	0.5	1	0.5	0	0.5	6	1
115	[120]2025 - Fei - A Software Defect Prediction Method Using a Multivariate Heterogeneous Hybrid Deep Learning Algorithm	1	1	1	1	1	1	1	0	1	8	1
116	[121]2025 - Gayetri - Convolution neural network-AlexNet with gazelle optimization algorithm-based software defect prediction	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	5	1
117	[122]2025 - Long - Optimizing fault prediction in software based on MnasNet_LSTM optimized by an improved lotus flower algorithm	1	0.5	1	1	0.5	0.5	1	0	0.5	6	1
118	[123]2025 - Mahmoud - Enhancing software defect prediction with a hybrid convolutional neural network and antlion optimization model	1	1	1	1	0.5	1	1	0	1	7.5	1
